final_title,combined_features
Underclassman,Action Comedy police high school undercover cop
Say It Isn't So,Comedy Romance 
The World's Fastest Indian,Drama new zealand utah life's dream independent film motorcycle motorcycle racing trailer mortgage
Tank Girl,Action Comedy Fantasy Science Fiction destroy dystopia reincarnation desert artial arts woman director
King's Ransom,Comedy Crime caper action
Blindness,Drama Mystery Science Fiction Thriller fight blindness and impaired vision asylum leader society eye specialist uprising doomsday plague
BloodRayne,Action Adventure Fantasy Horror vampire vampire hunter based on video game romania
Carnage,Comedy Drama flat mobile phone hamster insult dark comedy writer tulips meeting puke pants liberal
Where the Truth Lies,Drama Mystery Thriller sex journalist journalism 1970s entertainer one-night stand extramarital affair sex party
Cirque du Soleil: Worlds Away,Fantasy Family clown music mimes cirque du soleil carnies aerialist
Without Limits,Drama running olympic games sport athlete
Me and Orson Welles,Comedy Drama Romance new york based on novel historical figure theater 1930s
The Best Offer,Drama Romance Crime Mystery painting auctioneer confidence game fine art honey pot
The Bad Lieutenant: Port of Call - New Orleans,Drama Crime police brutality organized crime policeman illegal drugs murder investigation corrupt cop
A Turtle's Tale: Sammy's Adventures,Animation Family global warming sea turtle 3d
Little White Lies,Comedy Drama american football country house motorboat male female relationship thirty something beach house organic food weasel group of friends reprimand declaration of love parent child relationship texting low tide forced interrupted vacation osteopath lovesick
Love Ranch,Drama independent film
The True Story of Puss 'n Boots,Family Adventure Animation cat surrealism cartoon cat
Space Dogs,Family Animation russia space mission space outer space dog
The Counselor,Thriller Crime Drama poetry lawyer drug smuggling drug trafficking red dress
Ironclad,Romance Adventure Action History ambush hero fight castle battlefield duel king order of the templars
Waterloo,History Action Drama biography napoleon bonaparte waterloo
Kung Fu Jungle,Crime Action Thriller martial arts kung fu serial killer
Red Sky,Action Thriller love triangle middle east fight kidnapping missile pilot honor betrayal mission conspiracy attack explosion combat jet military rogue squad wmd dog fight
Dangerous Liaisons,Drama Romance lovesickness sexuality cheating cynic ladykiller fiancé arranged marriage passion seduction love letter boredom courtly life french revolution lover plan praise gender roles
On the Road,Adventure Drama based on novel cemetery narration nudity funeral song friendship road trip marijuana snow cigarette smoking writer photograph on the road sex scene typewriter voice over suicide thoughts road movie denver colorado kerouac
Star Trek IV: The Voyage Home,Science Fiction Adventure saving the world san francisco uss enterprise-a time travel whale marine biologist vulcan space opera
Rocky Balboa,Drama philadelphia transporter fight love of one's life publicity boxer grave tombstone tv station boxing match comeback training restaurant owner world champion challenger virtual fight defeat victory cancer over-the-hill fighter
Scream 2,Horror Mystery film festivals slaughter slasher
Jane Got a Gun,Action Drama Western 
Think Like a Man Too,Comedy Romance 
The Whole Nine Yards,Comedy Crime bounty gangster boss montreal gangster dentist hoodlum
Footloose,Drama Family Music Romance dancing dancer dance music dance teacher
Old School,Comedy sex doll streaking mouth to mouth resuscitation
The Fisher King,Comedy Drama holy grail homeless person loss of lover mental disease sense of guilt suppressed past yuppie cynic fantasy self-discovery housebreaking forgiveness gun rampage talk show legend unsociability person running amok
I Still Know What You Did Last Summer,Horror Mystery Thriller competition island radio bahamas college knife fisherman vacation revenge murder marijuana resort blood slasher storm hook killer
Return to Me,Romance Comedy Drama transplantation love of one's life veterinarian woman director
Zack and Miri Make a Porno,Comedy pornography love of one's life platonic love pornographic video best friend sex comedy best friends in love aftercreditsstinger duringcreditsstinger
Nurse Betty,Comedy Crime Thriller independent film native american violence soap opera used car dealer nurse uniform female bartender tv production heart specialist formosa cafe hollywood tv writer murderer duo
The Men Who Stare at Goats,Comedy War vietnam veteran kuwait new age staring contest drug use paranoid fantasy hippie lifestyle
Double Take,Adventure Drama Action Comedy Romance mexico cia fbi train
"Girl, Interrupted",Drama based on novel suicide attempt puberty biography borderline personality disorder
Win a Date with Tad Hamilton!,Comedy Romance celebrity romantic comedy male female relationship movie star
Muppets from Space,Fantasy Comedy Science Fiction Family puppet the muppets
The Wiz,Adventure Family Fantasy Music melancholy little dog based on stage musical based on film wizard
Ready to Rumble,Action Comedy Drama wrestling sport
Play It to the Bone,Comedy Drama sport
I Don't Know How She Does It,Romance Comedy pregnancy family vacation widower working mum in-laws
Piranha 3D,Comedy Horror yacht movie in movie scuba diving piranha spring break man eaten by monster 3d
Beyond the Sea,Drama Music musical perfectionist rowboat courtship
Meet the Deedles,Animation Comedy Family 
The Thief and the Cobbler,Adventure Fantasy Animation Science Fiction Family prophecy witch princess battle desert troubled production unfinished film
The Bridge of San Luis Rey,Romance Drama based on novel bridge peru period drama 18th century woman director collapse
Faster,Crime Drama Action Thriller 
Howl's Moving Castle,Fantasy Animation Adventure flying witch rain castle scarecrow body exchange hatter bakery demon anime
Zombieland,Comedy Horror washington d.c. sister sister relationship post-apocalyptic road trip blood splatter parody survival zombie violence survival horror amusement park twinkie body count zombification disposing of a dead body bitten on the arm loner aftercreditsstinger zombie apocalypse fear of clowns
The Waterboy,Comedy sport social outcast ridicule lawn mower deserted by husband low self esteem black and white to color
The Empire Strikes Back,Adventure Action Science Fiction rebel android asteroid space battle snow storm space colony spaceship lightsaber jedi good vs evil rebellion the force space opera stormtrooper wookie jedi master jedi training droid
Bad Boys,Action Comedy Crime Thriller miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop
The Naked Gun 2½: The Smell of Fear,Comedy Crime washington d.c. usa president spoof the white house
Final Destination,Horror omen airplane accident corpse death near-death experience
The Ides of March,Drama ohio politics dirty tricks presidential campaign endorsement campaign speech presidential debate
Pitch Black,Thriller Science Fiction Action darkness dystopia comet alien life-form survival eclipse flask corps
Someone Like You...,Comedy Romance feminism cohabitant tv show man-woman relation man between two women
Her,Romance Science Fiction Drama artificial intelligence computer love loneliness transhumanism heartbreak near future singularity bittersweet
Joy Ride,Mystery Thriller Drama colorado friendship stalker pokies truck driver cb radio strange
The Adventurer: The Curse of the Midas Box,Fantasy Adventure Family london england based on novel key adventure supernatural steampunk
Anywhere But Here,Drama Comedy Romance dream
The Crew,Action Comedy 
Haywire,Action Thriller mercenary secret agent rescue foot chase spanish
Jaws: The Revenge,Adventure Thriller shark attack bahamas dying and death aggression by animal sequel revenge underwater shark great white shark animal attack caribbean christmas banana boat
Marvin's Room,Drama sister sister relationship sister leukemia reunion cancer bone marrow transplant
The Longshots,Drama Family 
The End of the Affair,Drama bomb sex jealousy infidelity obsession world war ii passion romance cheating wife church
Harley Davidson and the Marlboro Man,Action Thriller corruption harley davidson drug dealer los angeles las vegas
In the Valley of Elah,History Drama Thriller Crime Mystery father son relationship detective war crimes patriotism homicide investigation iraq military service police cover-up disappearance murder investigation
Coco Before Chanel,Drama History fashion designer woman director
Forsaken,Western Drama 
Cheri,Drama Comedy Romance 
Vanity Fair,Drama Romance london england british empire lover advancement aristocrat woman director
Bodyguards and Assassins,Drama Action History assassination martial arts sword blood splatter impalement beaten to death hong kong head bashed in extreme violence violent death hook bloody fight throat slitting violence
1408,Horror Thriller suicide new york hotel fire hotel room wife husband relationship suicide attempt window door haunted house research ghost world painting telephone loss of daughter blood
Spaceballs,Comedy Science Fiction android lasergun swordplay temple space marine space battle space travel space mission galaxy comb altar magnet beam jam speed of light plastic surgery password shield nose spoof
The Water Diviner,War Drama istanbul australia post world war i farmer missing in action missing son gallipoli campaign inspired by true events
Ghost,Fantasy Drama Thriller Mystery Romance corruption fortune teller money transfer money laundering pottery afterlife spiritism
There's Something About Mary,Romance Comedy surgeon stalker romantic comedy dream girl taboo screwball comedy frisbee troubadour gross out comedy intellectual disability
The Santa Clause,Fantasy Drama Comedy Family holiday christmas party santa claus deal christmas tree christmas
The Rookie,Drama Family father son relationship baseball sports team sport life's dream growing up
The Game Plan,Comedy Family american football bachelor sports team sport aerobics tween girl publicist
The Bridges of Madison County,Drama Romance farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary
The Animal,Action Comedy dream employee car crash scientist police officer organ donation aftercreditsstinger virility
Gandhi,Drama History muslim indian lead demonstration world war ii imprisonment release from prison south africa bravery hunger strike colony morning prayer hindu independence british army political negotiations conference nonviolent resistance apartheid british empire protest independence movement bombay india strike freedom prayer world religion hinduism mahatma gandhi calcutta
The Hundred-Foot Journey,Drama france based on novel indian lead restaurant family
The Net,Crime Drama Mystery Thriller Action cheating new identity computer virus chase computer stalking
I Am Sam,Drama foster parents pro bono new baby social services learning coffee shop manager pizza hut children's book locked door mentally handicapped man child custody woman director
Son of God,Drama biography resurrection
Underworld,Fantasy Action Thriller budapest subway love of one's life vampire bite descendant hostility shootout werewolf blunt fang vamp
Derailed,Drama Thriller prison chicago rape based on novel hotel room wife husband relationship anonymous letter blackmail family's daily life letter business man relationship problems man between two women revenge deception beating violence wallet extramarital affair embezzlement advertising executive flashback abortion commuter train
The Informant!,Drama Comedy Crime agriculture company witness to murder
Shadowlands,Drama Romance bachelor stroke of fate brother oxford author falling in love
Deuce Bigalow: European Gigolo,Comedy painter amsterdam dolphin europe pimp fetish gigolo wig snorkel whistle
Delivery Man,Comedy remake sperm donor
Our Kind of Traitor,Thriller based on novel woman director
Saving Silverman,Comedy Crime Romance female nudity harassment male friendship dark comedy director cameo duringcreditsstinger
Diary of a Wimpy Kid: Dog Days,Comedy Family best friend sweet sixteen duringcreditsstinger
Summer of Sam,Thriller Drama Crime Romance distrust intolerance punk rock italian american summer bigotry bronx
Jay and Silent Bob Strike Back,Comedy film making jay and silent bob self mocking character is subject of comic reference to prince valiant indiana jones spoof scene monkey actor view askew gigantic hand animal experimentation
The Glass House,Drama Thriller california brother sister relationship loss of parents suspense psychological thriller orphan car accident
"Hail, Caesar!",Comedy Drama Mystery journalist cat ransom kidnapping ancient rome movie in movie hollywood period drama
Josie and the Pussycats,Comedy Music manager pop secret small town garage musician music friendship industry fame conspiracy subliminal  rock band culture woman director messages fortune record deal popular pawns
Homefront,Action Thriller based on novel drug dealer ex-cop rural setting undercover cop methamphetamine motorcycle gang drug revenge motive father daughter relationship lousiana bayou
The Little Vampire,Family Horror based on novel vampire bite independent film fang vamp
I Heart Huckabees,Comedy Romance sex detective jealousy humor protest wife celebrity rivalry independent film religion universe anger nature husband existentialism enviroment issues
RoboCop 3,Action Adventure Crime Science Fiction Thriller cyborg dystopia police sequel cyberpunk policeman robocop
Megiddo: The Omega Code 2,Action Science Fiction Thriller dystopia
Darling Lili,Drama Comedy Thriller Music Romance spy uncle
Dudley Do-Right,Comedy Family Romance based on cartoon mountie
The Transporter Refueled,Thriller Action Crime transporter sequel suspense car bank heist action
The Libertine,Drama Romance london england sex dying and death poet theatre milieu monolog monkey alcoholic
Black Book,Drama Thriller War in love with enemy netherlands world war ii prosecution
Joyeux Noël,Romance Drama History War Music holiday world war i hostility singer singing christmas
Hit & Run,Action Comedy Romance witness protection getaway driver duringcreditsstinger
Mad Money,Action Comedy Crime gang hoodlum woman director
Before I Go to Sleep,Mystery Thriller amnesia therapist aggression hospital flashback
Sorcerer,Action Thriller Adventure dynamite car journey nicaragua criminal bandit explosives latin america rope bridge transport nitroglycerin oil company existentialism dangerous mission
Stone,Drama prison fire manipulation seduction vegetarian playground deception arson parole arsonist convict house fire
Moliere,Romance Drama Comedy playwright
Out of the Furnace,Thriller Drama Crime prison brother brother relationship drug dealer brother revenge drug use car accident justice family bare knuckle fighting rust belt neo-noir manslaughter social decay ptsd
Michael Clayton,Drama Mystery Crime killing restaurant chambers of a barrister scandal pretended suicide lawsuit car bomb business ethics crooked lawyer
My Fellow Americans,Comedy Drama white house usa president national security agency (nsa) danger sable writ
Arlington Road,Drama Thriller Mystery bomb terrorist fbi professor paranoia college wife politics army murder suspense neighbor agent blueprint classified neo-noir
Underdogs,Animation Adventure Romance soccer
To Rome with Love,Romance Comedy rome expatriate episodic
Firefox,Science Fiction Action Adventure Thriller flying pilot kampfjet false identity assault suspense
"South Park: Bigger, Longer & Uncut",Animation Comedy Music gay mount rushmore national memorial swear word mephisto hell world supremacy elementary school saddam hussein blood splatter atheist sequel surrealism friends who hate each other satan based on tv series cartoon sex child swearing visions of hell u.s. canada war shot to death adult animation south park colorado
Death at a Funeral,Comedy Drama brother brother relationship farewell father son relationship age difference parents kids relationship secret sadness coffin funeral gathering surprise lsd studies hallucinogen drug trip arrogance female corpse
Teenage Mutant Ninja Turtles III,Action Adventure Comedy Family Fantasy Science Fiction japan time travel ninja
Hardball,Comedy Romance gay
Silver Linings Playbook,Drama Comedy Romance dancing philadelphia running based on novel depression letter friendship neighbor mental illness ex-wife institutionalization bipolar philadelphia eagles
Freedom Writers,Crime Drama black people based on novel holocaust ghetto diary principal witness  biography daughter high school racial segregation anne frank school excursion idealism violence in schools racial tension gang violence based on true events
For Colored Girls,Drama female nudity poem rape love domestic violence womanhood
The Transporter,Action Crime Thriller car journey transportation auto human trafficking
Never Back Down,Drama Action rebel martial arts underground fight training champion sport high school party revenge blood nemesis violence club brawl
The Rage: Carrie 2,Horror Thriller Science Fiction suicide male nudity female nudity fire nudity asylum telekinesis high school swimming pool party sequel murder prom teacher decapitation blood splatter weightlifting teen suicide woman director
Away We Go,Drama Comedy Romance interracial relationship dead father reference to bob dylan biracial bedtime story unmarried couple medical illustrator disguised voice reference to huckleberry finn student protest sonogram expectant grandmother dead parents testicles
Swing Vote,Drama Comedy usa president presidential election fox news
Moonlight Mile,Romance Drama 
Tinker Tailor Soldier Spy,Drama Thriller Mystery spy cold war spying espionage mole british spy
Molly,Drama Comedy Romance 
The Beaver,Drama puppet woman director
The Best Little Whorehouse in Texas,Comedy brothel corset crusader musical governor tv reporter madame busty cat house based on stage musical based on adaptation based on article swearing
eXistenZ,Action Thriller Science Fiction Horror video game hacker bodyguard pop star virtual reality dystopia virtual fight
Raiders of the Lost Ark,Adventure Action saving the world riddle nepal himalaya cairo moses egypt whip treasure medallion leather jacket nazis hat mediterranean ark of the covenant ten commandments treasure hunt excavation swastika archaeologist indiana jones archeology 
Home Alone 2: Lost in New York,Comedy Family Adventure Crime holiday new york new york city christmas
Close Encounters of the Third Kind,Science Fiction Drama indiana obsession extraterrestrial technology evacuation blackout flying saucer secret base light contact beguilement exchange ufo alien vision missing person mother ship escapade obsessive quest life turned upside down
Pulse,Horror Thriller suicide hacker death of a friend website remake
Beverly Hills Cop II,Action Comedy Crime smuggling of arms detective intensive care undercover strip club armored car investigation police swimming pool sequel shootout gunfight los angeles explosion violence car chase detroit horse track beverly hills buddy cop oil field cement truck playboy mansion shooting range
Bringing Down the House,Comedy prison ex-boyfriend support escape lawyer
The Silence of the Lambs,Crime Drama Thriller based on novel psychopath horror suspense serial killer psychological thriller cannibal fbi agent animal in cast credits cannibalism
Wayne's World,Music Comedy tv show heavy metal television producer woman director
Jackass 3D,Comedy Documentary Action pain stunts stuntman stupidity comedy duringcreditsstinger 3d
Jaws 2,Horror Thriller mayor island police chief sailing boat accident dying and death panic current aggression by animal sequel rescue teenager shark great white shark high-tension current tourism
Beverly Hills Chihuahua,Adventure Comedy Family dog dirt chihuahua pinata potted plant duringcreditsstinger
The Conjuring,Horror Thriller sister sister relationship exorcism rhode island based on true story farmhouse paranormal investigation ghost supernatural power paranormal investigator annabelle
Are We There Yet?,Adventure Comedy Family Romance car journey macho road trip children pretty woman trouble
Tammy,Comedy 
School of Rock,Comedy Music rock and roll rock high school music band
Mortal Kombat,Action Fantasy martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat
White Chicks,Comedy undercover fbi fish out of water high society buddy cop crossdressing
The Descendants,Comedy Drama hawaii father-in-law daughter cheating wife beach house boating accident estate dying mother beautiful girl teenage daughter trustee trust fund wild girl wild child realtor
Holes,Adventure Family Drama Comedy curse suitor false accusations reference to annabel lee digging baseball player mountain climbing
The Last Song,Drama Family Romance brother sister relationship new love daughter summer vacation woman director
12 Years a Slave,Drama History whip kidnapping slavery plantation night shift violin player physical abuse cotton slave owner 19th century sold into slavery abolitionist
Drumline,Drama Romance Comedy Music music rehearsal fraternity initiation television broadcast white male pretending to be black sorority party push ups
Why Did I Get Married Too?,Comedy Romance 
Edward Scissorhands,Fantasy Drama Romance underdog love at first sight hairdresser small town scissors inventor burglar unsociability
Me Before You,Drama Romance england based on novel depression small town wheelchair caretaker caregiver disabled twenty something woman director romantic drama dead end job accident
Madea's Witness Protection,Drama Comedy Crime 
The French Connection,Action Crime Thriller police brutality marseille night life attempted murder drug dealer drug mule gangster boss drug smuggle undercover agent hijacking of train herion
Bad Moms,Comedy alcohol bar party divorce family hit and run bathroom humor
Date Movie,Comedy date diary parents-in-law bridegroom wedding
Return to Never Land,Adventure Fantasy Animation Family animation
Selma,History Drama alabama martin luther king president black american civil rights protest march woman director selma
The Jungle Book 2,Family Animation Adventure river musical tiger village feral child sequel bear jungle orphan vulture gong lost shake mango
Boogeyman,Thriller Horror Drama Mystery nightmare hallucination childhood trauma break-up hometown psychotherapy
Premonition,Thriller Drama Mystery deja vu dying and death time travel loss of husband car crash
The Tigger Movie,Animation Family owl donkey tiger piglet bear rabbit woman director
Orphan,Horror Thriller Mystery nun deaf-mute orphan all girl troubled marriage aftercreditsstinger duringcreditsstinger
Max,Adventure Drama Family afghanistan war based on true story rescue betrayal dog grieving
Epic Movie,Action Adventure Comedy 
Spotlight,Drama Thriller History child abuse journalism judge florida boston pedophilia court cover-up priest lawyer catholic catholic church catholicism september 11 2001 investigative journalism cardinal christmas
Lakeview Terrace,Drama Crime Thriller vandalism harassment neighbor house party shot to death pregnancy urination interracial couple lapd air conditioner
The Grudge 2,Horror Thriller remake little boy curse
How Stella Got Her Groove Back,Comedy Drama Romance black people age difference jamaica vacation female protagonist
Bill & Ted's Bogus Journey,Adventure Comedy Family Fantasy Science Fiction future dying and death heaven time travel heavy metal diabolical ego afterlife metal robot devil doppelganger seance
Man of the Year,Comedy Drama Romance Thriller usa president presidential election comedian
The Black Hole,Adventure Family Science Fiction Action killer robot space marine ghost ship black hole
The American,Crime Drama Thriller prostitute sweden suspense priest very little dialogue
Selena,Drama musical tejano elopement bustier fan club
Vampires Suck,Horror Comedy vampire high school prom spoof horror spoof teenager duringcreditsstinger
Babel,Drama terror loss of mother gun morocco deaf-mute san diego ecstasy illegal immigration first time nanny daughter bullet wound ensemble cast
This Is Where I Leave You,Drama Comedy based on novel funeral dysfunctional family death of father man child family mourning grieving
Doubt,Drama Mystery sexual abuse boy wine gift janitor singing pedophile gossip compassion tolerance 1960s
Team America: World Police,Music Adventure Animation Action Comedy paris france cairo capitalism loss of lover egypt war against terror shotgun patriotism pentagon american dream destroy shipwreck louvre american  way of life failure panama damage government eiffel tower paris world politics mass destruction
Texas Chainsaw 3D,Horror Thriller sequel gore leatherface slasher chainsaw aftercreditsstinger duringcreditsstinger
Copycat,Drama Thriller police brutality psychology police operation police protection serial killer psychologist cowardliness
Scary Movie 5,Comedy sequel parody spoof aftercreditsstinger duringcreditsstinger
Paint Your Wagon,Drama Action Comedy Western Music mining prospector
Milk,History Drama gay san francisco homophobia mayor biography politics politician election campaign homosexuality morality election candlelight vigil mayoral campaign
Risen,Action christianity jesus christ apostle crucifixion jerusalem ancient rome faith resurrection dead body judaism religious tomb
Ghost Ship,Horror Mystery Thriller cruise pilot ghost ship
A Very Harold & Kumar Christmas,Comedy holiday indian lead beer christmas tree cannabis sequel vulgarity drug asian 3d beer pong
Wild Things,Crime Drama Mystery upper class poison sailboat rape sexual abuse florida eroticism blackmail lolita cheerleader court case planned murder sailing pretended murder seduction bisexuality alligator crocodile everglades heart-throb white trash menage a trois intellectually gifted harpoon van plan court single millionaire extramarital affair duringcreditsstinger
The Stepfather,Horror Thriller Mystery step father remake
The Debt,Drama Thriller beach mossad secret agent insane asylum lye syringe lost of friend
High Fidelity,Comedy Drama Romance Music chicago music record rock and roll record store soul disc jockey pop bruce frederick joseph springsteen record collection
One Missed Call,Horror Mystery Thriller candy loss of sister mobile phone answering machine dying and death victim death of a friend sms asthma friendship police delusion remake cowardliness train
Eye for an Eye,Drama Thriller rape gun self-defense grieving parents
The Bank Job,Thriller Crime Drama infidelity subway car dealer vault mannequin bahamas strip club wife offer photography london underground based on true story extortion double cross walkie talkie railway station jackhammer political corruption bank heist cabinet officer corrupt policeman
Eternal Sunshine of the Spotless Mind,Science Fiction Drama Romance deja vu regret jealousy amnesia dream operation relationship problems love memory brainwashing relationship heartbreak nonlinear timeline love story bittersweet
You Again,Comedy Romance brother sister relationship marriage bully duringcreditsstinger
Street Kings,Action Crime Drama Thriller police los angeles
The World's End,Comedy Action Science Fiction end of the world apocalypse trilogy homage
Nancy Drew,Action Adventure Crime Family Mystery Thriller california detective based on novel dream kidnapping chase party murder rescue escape hollywood teenager explosion surveillance flashback
Daybreakers,Fantasy Horror Action Thriller Science Fiction female nudity sunrise waitress experiment rain sunlight vampire dystopia beautiful woman slow motion scene undead decapitation scientist epidemic night creatures
She's Out of My League,Comedy Romance confidence romantic comedy dating insecurity airport security unlikely lovers twenty something duringcreditsstinger
Monte Carlo,Adventure Comedy Romance monte carlo mistaken identity look-alike young woman texan american abroad
Stay Alive,Horror Thriller video game hacker virtual reality virtual fight baroness
Quigley Down Under,Romance Action Adventure Western Drama australian chase
Alpha and Omega,Family Animation wolf arranged marriage forbidden love road trip park park ranger howling social status
The Covenant,Action Adventure Fantasy Horror Science Fiction Thriller magic male friendship college supernatural powers teenager
Stick It,Comedy Drama gymnastics trainer puberty training sport teenager woman director
Shorts,Comedy Family 
To Die For,Fantasy Drama Comedy Thriller adultery winter obsession television new hampshire narcissistic personality disorder
Nerve,Mystery Adventure Crime based on novel technology internet hacking teenager new york city game adaptation dare cellphone video based on young adult novel smartphone taking a risk
Appaloosa,Drama Western Crime small town rancher
Vampires,Action Drama Fantasy Horror Thriller based on novel new mexico party vampire hunter revenge priest church skull team crucifix cross relic vampire slayer turning into a vampire drinking blood
Psycho,Drama Horror Thriller hotel clerk arizona shower rain motel money secretary corpse murderer theft private detective proto-slasher
My Best Friend's Girl,Romance Comedy date sex bar test friendship insult stripper blonde liar wedding lap dance duringcreditsstinger
Endless Love,Drama Romance teenage romance
Georgia Rule,Comedy Drama Romance grandmother granddaughter relationship promiscuity mother daughter relationship summer teenager rural veterinary clinic rebellious teenager
Under the Rainbow,Comedy 
Ladyhawke,Adventure Drama Fantasy Romance moon monk swordplay bishop cathedral falcon twilight solar eclipse thief
Simon Birch,Comedy Drama Family illegitimate son
Reign Over Me,Drama confidence trauma leaving one's family childhood memory airplane war on terror music loss of daughter alone cowardliness family
Into the Wild,Adventure Drama male nudity parents kids relationship camping cutting the cord self-discovery wilderness biography based on true story pubic hair alaska journey
School for Scoundrels,Comedy Drama Romance date competition lovesickness mentor traffic policeman
Silent Hill: Revelation 3D,Thriller Horror Mystery female protagonist another dimension based on video game mall occult ritual dark carnival occult torture aftercreditsstinger 3d
From Dusk Till Dawn,Horror Action Thriller Crime dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor
Pooh's Heffalump Movie,Animation Family 
Home for the Holidays,Comedy Drama Romance baltimore thanksgiving family clan family conflict generations conflict woman director
Kung Fu Hustle,Action Comedy Crime Fantasy kung fu magic mafia defense gangster policeman anarchic comedy
The Country Bears,Adventure Comedy Family human animal relationship musical clowning bear social satire aftercreditsstinger duringcreditsstinger
The Kite Runner,Drama 1970s afghanistan hang gliding war in afghanistan taliban cowardice best friend cowardliness child
21 Grams,Drama Crime Thriller life and death transplantation suicide attempt desperation loss of family ex-detainee sadness rage and hate car crash
Paparazzi,Action Drama Thriller independent film
A Guy Thing,Comedy Romance infidelity bachelor blackmail fantasy truth party liar friends misunderstanding wedding fiancée
Loser,Drama Comedy Romance Family college lost and found older brother younger sister woman director young adult college student
Capitalism: A Love Story,Documentary usa capitalism capitalist wall street criticism and blame banking money economics corporation
The Greatest Story Ever Told,Drama History jesus christ biography epic
Secret in Their Eyes,Crime Drama Mystery fbi missing child
Disaster Movie,Action Comedy natural disaster violence mortal danger duringcreditsstinger
Armored,Action Crime Drama Thriller robbery homeless person bank armored car truck heist
The Man Who Knew Too Little,Comedy Thriller Crime Action london england bomb brother brother relationship helicopter based on novel bank tv show theatre milieu mistaken identity escape agent
What's Your Number?,Comedy Romance based on novel loser magazine womanizer mission search boyfriend husband fired past relationship
Lockout,Action Thriller Science Fiction usa president anti hero dementia future space convict interrogation space station collision in space year 2079
Envy,Comedy jealousy inventor neighbor best friend milliionaire dog envy golden egg
Crank: High Voltage,Action Thriller Crime female nudity prostitute horse race heart strip club electric shock godzilla sequel tourette syndrome gang shootout public sex cigarette smoking mansion electrocution foot chase surgery taser duringcreditsstinger flashback absurdism ultraviolence
Bullets Over Broadway,Action Comedy Thriller lover (female) talent mafia boss author
One Night with the King,Drama based on novel persia queen esther
The Quiet American,Drama Action Thriller Romance terror journalist lover (female) saigon indochina
The Weather Man,Comedy Drama new york chicago midlife crisis television daughter father weatherman terminal illness wettermann
Undisputed,Action Adventure Drama Thriller sport
Ghost Town,Comedy Fantasy Romance dying and death misanthrope lecture cardiopulmonery resuscitation
12 Rounds,Action Adventure Drama Thriller police cops cat and mouse family revenge drama
Let Me In,Drama Horror Mystery vampire child vampire remake bully young boy biting dead boy hammer horror 1980s
3 Ninjas Kick Back,Adventure Action Comedy Family underdog hero friendship treasure hunt friends revenge rivalry good vs evil youth danger escapade young heroes siblings relations vigilantism heroic mission buddies master villain master warrior contests and competitions
Be Kind Rewind,Drama Comedy camcorder videoband delusion nuclear power plant video store
Mrs Henderson Presents,Comedy Drama world war ii widow musical theatre milieu nacktrevue variety
Triple 9,Action Thriller heist betrayal dirty cop
Deconstructing Harry,Comedy Drama new york writer's block insanity independent film author
Three to Tango,Comedy Romance gay dance architect artist tango business man spying partnership chief executive officer deception business partner affair
Burnt,Drama london england cook restaurant diva career kitchen redemption drug drug addict chef come back
We're No Angels,Comedy Crime Drama prison prisoner independent film
Everyone Says I Love You,Music Comedy Romance paris venice adultery robbery lovesickness dancer airport broken engagement infidelity montmartre winter marriage proposal new love restaurant gondola halloween racehorse lover musical grandfather thanksgiving senility tourist jogging atheist dysfunctional family independent film family relationships mistaken identity wealth redemption unfaithfulness hospital lingerie slip escaped convict singing maid new york city divorce urban setting christmas eve cult film waiter wake jewelry store unwanted kiss funeral home central park ghost opposites attract engagement ring jumping rope autumn trick or treating flashback park avenue parolee x-ray jeweler fiancée
Death Sentence,Action Crime Drama Thriller loss of son repayment revenge murder gang police officer killed hospital extreme violence justice hoodlum semiautomatic pistol finger gun
Everybody's Fine,Drama family relationships doctor retired visit widower duringcreditsstinger heart trouble
Superbabies: Baby Geniuses 2,Comedy Family baby baseball scientific study computer genius mind control good vs evil baby geniuses
The Man,Action Comedy Crime mistake in person false identity arms dealer cop police officer dentist
Code Name: The Cleaner,Action Comedy Crime 
Connie and Carla,Comedy gay drag queen mistaken identity
Sweet Charity,Comedy Drama Music Romance broken engagement charity celebrity tragic love dancehall girl based on stage musical based on film
Inherent Vice,Comedy Romance Crime Drama Mystery based on novel 1970s private investigator smoking marijuana los angeles 1960s
Doogal,Family 
Battle of the Year,Music Drama musical 3d
An American Carol,Comedy Fantasy terrorist parody documentary filmmaker sattire
Machete Kills,Action Crime Thriller mexico white house nuclear missile machete outer space
Willard,Horror bad boss evil mother revenge humiliation obedience
Strange Wilderness,Comedy tv show bigfoot
Topsy-Turvy,Comedy Drama Music prostitute musical biography telephone call cigar smoking drink  gilbert and sullivan gilbert and sullivan's princess ida piano duet lyricist exhibition
Little Boy,Comedy Drama War japanese world war ii spirituality
A Dangerous Method,Drama Thriller based on novel psychoanalysis sigmund freud biography spanking based on play cigar smoking cheating husband based on true events
